date,r1,r2,r3,r4,r5,r6,blue
2015-10-04,4,6,15,23,26,28,11
2015-10-06,4,11,12,18,26,32,12
2015-10-08,1,4,11,21,23,31,12
2015-10-11,2,8,10,18,23,31,8
2015-10-13,16,21,24,26,27,29,16
2015-10-15,1,3,20,21,28,29,12
2015-10-18,5,7,11,16,22,25,7
2015-10-20,5,8,9,12,22,28,7
2015-10-22,2,3,5,12,18,27,1
2015-10-25,5,13,22,27,30,33,10
2015-10-27,10,11,15,20,23,29,12
2015-10-29,7,10,19,22,27,33,6
2015-11-01,1,3,8,11,22,28,6
2015-11-03,5,8,11,16,18,27,4
2015-11-05,6,14,15,16,17,22,10
2015-11-08,10,12,13,19,22,26,3
2015-11-10,3,5,11,28,30,33,1
2015-11-12,2,3,13,20,22,24,15
2015-11-15,2,5,14,19,27,31,4
2015-11-17,1,12,14,18,26,32,7
2015-11-19,2,5,12,23,28,29,1
2015-11-22,14,22,23,27,28,31,12
2015-11-24,1,2,8,16,19,24,11
2015-11-26,1,10,13,18,25,27,9
2015-11-29,6,20,28,29,30,31,12
2015-12-01,3,8,19,25,27,28,2
2015-12-03,13,17,19,20,22,25,11
2015-12-06,13,15,19,20,21,32,4
2015-12-08,1,4,7,15,28,32,16
2015-12-10,7,8,15,19,20,24,13
2015-12-13,16,17,21,28,30,32,15
2015-12-15,8,9,16,23,24,30,5
2015-12-17,9,13,14,22,26,27,7
2015-12-20,9,10,20,21,22,33,9
2015-12-22,1,3,8,11,29,31,13
2015-12-24,5,6,8,23,31,32,11
2015-12-27,11,18,19,21,29,32,12
2015-12-29,8,11,15,22,27,29,3
2015-12-31,7,9,11,15,18,25,7
2016-01-03,6,13,16,18,20,22,13
2016-01-05,9,14,17,20,24,30,16
2016-01-07,1,10,14,23,26,28,1
2016-01-10,8,10,17,22,25,33,12
2016-01-12,11,14,18,20,31,33,14
2016-01-14,13,16,18,20,28,31,12
2016-01-17,5,12,14,20,27,29,6
2016-01-19,2,15,24,29,32,33,2
2016-01-21,10,14,24,25,27,32,4
2016-01-24,2,4,12,14,19,25,6
2016-01-26,3,8,10,15,22,29,12
2016-01-28,7,12,14,16,27,32,15
2016-01-31,7,12,21,22,26,31,1
2016-02-02,2,8,10,18,20,27,7
2016-02-04,1,2,14,22,25,26,7
2016-02-14,1,20,22,24,25,26,16
2016-02-16,5,6,8,20,22,30,5
2016-02-18,12,13,14,17,21,25,4
2016-02-21,6,13,16,17,23,30,10
2016-02-23,1,2,10,12,22,24,10
2016-02-25,9,11,13,22,24,26,5
2016-02-28,4,9,19,22,23,30,7
2016-03-01,3,6,10,19,25,29,7
2016-03-03,2,5,7,14,18,31,13
2016-03-06,4,11,12,17,24,30,12
2016-03-08,4,9,12,28,30,33,1
2016-03-10,11,13,15,17,19,31,5
2016-03-13,6,8,12,21,25,29,1
2016-03-15,12,15,18,20,21,27,15
2016-03-17,10,14,19,22,25,29,12
2016-03-20,3,8,10,19,26,33,3
2016-03-22,8,12,14,15,21,27,15
2016-03-24,6,17,18,20,27,29,15
2016-03-27,3,15,21,22,23,28,15
2016-03-29,4,13,19,20,26,29,11
2016-03-31,3,4,7,9,20,22,3
2016-04-03,6,15,26,31,32,33,16
2016-04-05,3,12,13,22,28,29,3
2016-04-07,1,3,7,18,19,27,16
2016-04-10,3,13,19,20,23,26,3
2016-04-12,12,17,18,21,22,24,4
2016-04-14,7,14,17,23,26,31,9
2016-04-17,5,14,20,26,30,33,12
2016-04-19,1,3,10,12,18,30,1
2016-04-21,4,9,12,17,30,32,3
2016-04-24,7,20,25,26,27,30,14
2016-04-26,2,5,8,15,17,22,16
2016-04-28,3,8,13,14,15,30,4
2016-05-01,6,8,13,14,22,27,10
2016-05-03,9,12,24,28,29,30,2
2016-05-05,1,2,4,9,15,33,12
2016-05-08,1,6,13,19,24,28,16
2016-05-10,2,8,10,12,29,31,1
2016-05-12,6,11,16,19,28,32,4
2016-05-15,5,6,10,16,22,26,11
2016-05-17,3,4,8,11,16,18,14
2016-05-19,7,12,19,22,23,26,11
2016-05-22,3,5,18,20,24,32,11
2016-05-24,4,11,12,20,25,28,15
2016-05-26,4,5,22,26,29,32,8
2016-05-29,5,6,8,18,20,32,8
2016-05-31,12,13,15,18,19,21,9
2016-06-02,16,17,18,23,28,32,7
2016-06-05,3,12,14,17,19,26,3
2016-06-07,13,16,22,25,26,27,14
2016-06-09,3,7,13,18,19,20,5
2016-06-12,9,13,18,20,27,31,4
2016-06-14,8,19,23,28,31,32,1
2016-06-16,8,10,11,20,21,27,11
2016-06-19,3,6,11,18,23,29,1
2016-06-21,19,21,26,28,29,32,1
2016-06-23,5,16,19,22,24,25,2
2016-06-26,9,11,12,15,16,20,13
2016-06-28,6,10,11,12,20,25,12
2016-06-30,1,3,6,16,29,32,7
2016-07-03,7,8,13,22,30,32,1
2016-07-05,1,9,17,19,20,29,10
2016-07-07,2,4,8,23,26,29,2
2016-07-10,1,3,10,12,24,28,2
2016-07-12,1,16,17,24,25,32,14
2016-07-14,2,6,15,25,30,32,7
2016-07-17,6,12,14,15,17,20,9
2016-07-19,9,16,17,24,30,31,4
2016-07-21,2,4,12,18,24,26,5
2016-07-24,1,12,19,20,21,25,16
2016-07-26,9,10,11,12,15,32,5
2016-07-28,2,3,10,11,14,21,12
2016-07-31,3,14,16,18,25,33,15
2016-08-02,1,3,14,30,31,32,8
2016-08-04,2,13,17,20,21,26,7
2016-08-07,4,8,14,22,23,28,7
2016-08-09,2,13,15,23,24,29,6
2016-08-11,6,9,15,17,25,27,9
2016-08-14,6,7,10,12,18,31,10
2016-08-16,1,5,9,12,18,32,12
2016-08-18,6,13,14,21,22,24,16
2016-08-21,6,13,25,26,28,31,1
2016-08-23,2,8,25,29,31,32,6
2016-08-25,1,11,21,23,27,33,6
2016-08-28,3,10,22,23,27,29,4
2016-08-30,1,3,19,24,32,33,1
2016-09-01,5,8,10,14,17,30,13
2016-09-04,1,5,13,19,24,27,11
2016-09-06,5,9,11,18,30,31,4
2016-09-08,8,10,19,27,28,31,16
2016-09-11,4,5,13,22,25,30,4
2016-09-13,6,11,18,26,27,32,1
2016-09-15,2,3,7,8,19,26,16
2016-09-18,9,11,15,16,27,33,5
2016-09-20,5,7,28,31,32,33,8
2016-09-22,2,4,7,14,15,32,4
2016-09-25,6,12,14,15,18,25,12
2016-09-27,1,11,16,17,20,26,14
2016-09-29,5,16,20,22,27,29,9
2016-10-02,6,8,20,22,26,27,9
2016-10-04,7,18,20,23,27,31,13
2016-10-06,3,10,14,17,28,33,2
2016-10-09,9,14,22,23,31,33,14
2016-10-11,9,19,21,30,31,32,4
2016-10-13,2,5,6,21,25,28,9
2016-10-16,2,3,10,23,25,28,9
2016-10-18,15,22,23,24,28,29,8
2016-10-20,7,9,12,14,20,27,16
2016-10-23,9,15,21,24,27,32,10
2016-10-25,1,6,8,20,27,30,3
2016-10-27,2,6,12,17,18,19,10
2016-10-30,7,12,17,26,29,31,16
2016-11-01,4,9,11,17,26,27,13
2016-11-03,5,6,8,21,31,33,14
2016-11-06,3,17,21,23,27,28,1
2016-11-08,4,10,18,19,25,27,2
2016-11-10,5,8,13,19,27,28,7
2016-11-13,15,16,21,22,27,33,15
2016-11-15,11,12,13,14,18,33,13
2016-11-17,2,8,10,18,20,33,12
2016-11-20,2,7,10,20,27,29,3
2016-11-22,1,6,9,10,15,32,14
2016-11-24,7,16,20,24,25,30,7
2016-11-27,1,6,19,26,28,30,3
2016-11-29,1,2,5,17,26,32,10
2016-12-01,4,13,15,17,21,24,15
2016-12-04,1,10,17,21,23,30,12
2016-12-06,6,9,23,24,25,33,13
2016-12-08,4,10,12,27,32,33,5
2016-12-11,1,3,7,12,19,20,6
2016-12-13,3,7,15,16,17,23,10
2016-12-15,4,14,18,28,31,32,12
2016-12-18,1,2,11,20,26,30,14
2016-12-20,3,20,23,26,32,33,7
2016-12-22,2,4,5,9,13,21,5
2016-12-25,6,11,16,20,22,33,7
2016-12-27,2,8,9,16,20,22,7
2016-12-29,7,9,16,24,25,29,6
2017-01-01,9,11,14,20,25,26,15
2017-01-03,15,19,23,24,25,32,3
2017-01-05,1,4,8,15,27,32,16
2017-01-08,5,13,17,26,27,30,7
2017-01-10,6,11,12,22,23,30,5
2017-01-12,2,4,8,26,29,33,8
2017-01-15,2,4,5,24,26,33,15
2017-01-17,7,13,15,27,28,29,13
2017-01-19,2,6,8,9,15,29,14
2017-01-22,5,8,19,25,28,30,7
2017-01-24,10,11,12,23,26,29,16
2017-01-26,10,11,14,15,16,24,7
2017-02-05,8,11,28,29,31,33,6
2017-02-07,6,8,18,20,23,31,13
2017-02-09,1,8,9,14,17,32,1
2017-02-12,5,8,16,22,27,29,2
2017-02-14,3,7,8,10,22,23,12
2017-02-16,1,2,3,17,25,31,9
2017-02-19,4,6,8,12,23,25,8
2017-02-21,4,8,10,12,31,33,10
2017-02-23,2,5,10,22,32,33,9
2017-02-26,2,6,15,16,18,32,15
2017-02-28,1,3,4,11,18,22,14
2017-03-02,9,21,25,26,29,31,13
2017-03-05,2,15,16,17,22,32,7
2017-03-07,3,10,12,19,27,30,8
2017-03-09,2,4,11,14,27,30,5
2017-03-12,7,8,12,13,22,30,9
2017-03-14,2,15,21,23,25,30,10
2017-03-16,1,7,9,20,23,30,2
2017-03-19,6,10,16,26,27,29,3
2017-03-21,5,8,15,24,27,31,11
2017-03-23,5,7,15,20,23,30,15
2017-03-26,4,7,8,19,32,33,13
2017-03-28,1,6,14,24,28,32,12
2017-03-30,1,2,5,10,24,27,15
2017-04-02,11,15,20,22,25,30,5
2017-04-04,1,4,8,13,24,27,5
2017-04-06,2,4,12,14,17,24,15
2017-04-09,15,19,23,28,29,33,4
2017-04-11,4,10,13,15,22,27,4
2017-04-13,1,2,4,7,10,23,4
2017-04-16,8,13,16,23,27,31,8
2017-04-18,8,16,19,21,31,32,6
2017-04-20,5,7,16,20,21,25,5
2017-04-23,4,13,14,23,26,32,10
2017-04-25,2,5,8,10,32,33,2
2017-04-27,5,8,9,14,15,19,7
